NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
"3","Unidade da Federação","1622","Anos","74.3","31","Minas Gerais","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","80.2","31","Minas Gerais","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","78.2","32","Espírito Santo","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","74.3","32","Espírito Santo","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","82.2","32","Espírito Santo","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","76.2","33","Rio de Janeiro","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","72.7","33","Rio de Janeiro","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","79.5","33","Rio de Janeiro","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","78.1","35","São Paulo","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","74.9","35","São Paulo","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","81.1","35","São Paulo","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","77.1","41","Paraná","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","73.7","41","Paraná","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","80.5","41","Paraná","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","79.1","42","Santa Catarina","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","75.8","42","Santa Catarina","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","82.4","42","Santa Catarina","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","77.8","43","Rio Grande do Sul","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","74.3","43","Rio Grande do Sul","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","81.1","43","Rio Grande do Sul","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","75.5","50","Mato Grosso do Sul","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","72.1","50","Mato Grosso do Sul","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","79.2","50","Mato Grosso do Sul","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","74.2","51","Mato Grosso","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","71.1","51","Mato Grosso","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.8","51","Mato Grosso","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","74.2","52","Goiás","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","71.1","52","Goiás","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","77.5","52","Goiás","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
"3","Unidade da Federação","1622","Anos","78.1","53","Distrito Federal","2503","Esperança de vida ao nascer","6794","Total","2016","2016"
"3","Unidade da Federação","1622","Anos","74.4","53","Distrito Federal","2503","Esperança de vida ao nascer","4","Homens","2016","2016"
"3","Unidade da Federação","1622","Anos","81.5","53","Distrito Federal","2503","Esperança de vida ao nascer","5","Mulheres","2016","2016"
